high_risk_cohort,Eligibile,Treated,Paxlovid,Sotrovimab,Remdesivir,Molnupiravir,Casirivimab
All,155530,39870,14350,16760,100,8620,50
imid,61000,14890,3690,7200,30,3950,20
immunosupression,28350,6470,2420,2570,10,1460,10
solid_cancer,27380,6300,1430,3180,10,1670,10
rare_neurological_conditions,17500,5110,2240,1890,NA,970,NA
haematological_disease,14920,5800,1460,2920,20,1400,10
renal_disease,10660,3980,20,2730,10,1210,NA
solid_organ_transplant,10180,3740,190,2580,20,950,NA
liver_disease,8250,1540,160,910,NA,480,NA
high_risk_group_unknown,4690,4690,4510,140,40,NA,NA
downs_syndrome,3400,790,330,250,NA,210,NA
hiv_aids,840,540,30,280,NA,230,NA
