treatment_date,cum_count_redacted,high_risk_group_treated
2021-12-16,10,All
2021-12-17,30,All
2021-12-18,40,All
2021-12-19,50,All
2021-12-20,70,All
2021-12-21,100,All
2021-12-22,120,All
2021-12-23,160,All
2021-12-24,210,All
2021-12-25,220,All
2021-12-26,240,All
2021-12-27,280,All
2021-12-28,330,All
2021-12-29,380,All
2021-12-30,450,All
2021-12-31,530,All
2022-01-01,550,All
2022-01-02,570,All
2022-01-03,600,All
2022-01-04,630,All
2022-01-05,660,All
2022-01-06,690,All
2022-01-07,740,All
2022-01-08,770,All
2022-01-09,780,All
2022-01-10,800,All
2022-01-11,830,All
2022-01-12,870,All
2022-01-13,890,All
2022-01-14,920,All
2022-01-15,930,All
2022-01-16,940,All
2022-01-17,960,All
2022-01-18,990,All
2022-01-19,1010,All
2022-01-20,1030,All
2022-01-21,1060,All
2022-01-22,1080,All
2022-01-23,1090,All
2022-01-24,1110,All
2022-01-25,1110,All
2022-01-26,1110,All
2022-01-27,1110,All
2022-01-28,1110,All
2022-01-29,1110,All
2022-01-30,1110,All
2022-01-31,1120,All
2022-02-01,1120,All
2022-02-02,1120,All
2021-12-22,0,Downs syndrome
2021-12-23,0,Downs syndrome
2021-12-24,0,Downs syndrome
2021-12-25,0,Downs syndrome
2021-12-26,0,Downs syndrome
2021-12-27,0,Downs syndrome
2021-12-28,0,Downs syndrome
2021-12-29,10,Downs syndrome
2021-12-30,10,Downs syndrome
2021-12-31,10,Downs syndrome
2022-01-01,10,Downs syndrome
2022-01-02,10,Downs syndrome
2022-01-03,10,Downs syndrome
2022-01-04,10,Downs syndrome
2022-01-05,10,Downs syndrome
2022-01-06,10,Downs syndrome
2022-01-07,10,Downs syndrome
2022-01-08,10,Downs syndrome
2022-01-09,10,Downs syndrome
2022-01-10,10,Downs syndrome
2022-01-11,10,Downs syndrome
2022-01-12,10,Downs syndrome
2022-01-13,10,Downs syndrome
2022-01-14,10,Downs syndrome
2022-01-15,10,Downs syndrome
2022-01-16,10,Downs syndrome
2022-01-17,10,Downs syndrome
2022-01-18,10,Downs syndrome
2022-01-19,20,Downs syndrome
2022-01-20,20,Downs syndrome
