High risk cohort,Count,Count,%,Count,%,Count,%,Count,%,Count,%,Count,%
All,79050,11540,15 (14-15),1440,12 (12-13),6570,57 (56-58),10,0 (0-0),3470,30 (29-31),50,0 (0-1)
Immune-mediated inflammatory disorders,31200,5240,17 (16-17),540,10 (9-11),3060,58 (57-60),0,0 (0-0),1620,31 (30-32),20,0 (0-1)
Primary immune deficiencies,14940,2080,14 (13-14),350,17 (15-18),1060,51 (49-53),<8,--,660,32 (30-34),10,0 (0-1)
Solid cancer,13480,1760,13 (12-14),160,9 (8-10),1060,60 (58-63),<8,--,530,30 (28-32),10,1 (0-1)
Rare neurological conditions,9070,1770,20 (19-20),380,21 (20-23),880,50 (47-52),<8,--,510,29 (27-31),10,1 (0-1)
Haematological diseases and stem cell transplant recipients,7250,1730,24 (23-25),200,12 (10-13),1020,59 (57-61),<8,--,500,29 (27-31),10,1 (0-1)
Solid organ transplant recipients,5320,1420,27 (26-28),30,2 (1-3),990,70 (67-72),<8,--,400,28 (26-31),10,1 (0-1)
Renal disease,5080,1380,27 (26-28),<8,--,980,71 (69-73),<8,--,390,28 (26-31),10,1 (0-1)
Liver disease,4790,490,10 (9-11),10,2 (1-3),300,61 (57-66),<8,--,170,35 (30-39),<8,--
Down's syndrome,1850,320,17 (16-19),70,22 (17-26),120,38 (32-43),<8,--,130,41 (35-46),<8,--
Immunosuppression due to HIV or AIDS,450,260,58 (53-62),<8,--,120,46 (40-52),<8,--,140,54 (48-60),<8,--
